user_id,item_id
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,45
0,46
0,47
0,48
1,70
1,71
1,72
1,73
1,74
1,75
1,76
1,77
1,78
1,79
1,80
1,81
1,82
1,83
1,84
1,85
1,86
1,87
1,88
1,89
1,90
1,91
1,92
1,93
1,94
1,95
2,108
2,109
2,110
2,111
2,112
2,113
2,114
2,115
2,116
2,117
2,118
2,119
2,120
2,121
3,128
3,129
3,130
3,131
3,132
3,133
3,134
3,135
4,140
4,141
4,142
4,143
4,144
4,145
4,146
4,147
5,152
5,153
5,154
5,155
5,156
5,157
5,158
5,159
5,160
5,161
5,162
5,163
5,164
5,165
5,166
5,167
5,168
5,169
5,170
5,171
5,172
6,183
6,184
6,185
6,186
6,187
6,188
6,189
6,190
7,195
7,196
7,197
7,198
7,199
7,61
7,44
8,203
8,204
8,205
8,206
8,207
8,208
8,209
8,210
8,211
8,212
8,213
8,214
8,215
8,216
8,217
8,218
8,219
8,220
8,221
8,222
8,223
8,224
8,225
9,237
9,238
9,239
9,240
9,241
9,242
9,243
9,244
9,245
9,246
9,247
9,248
9,249
9,250
9,251
9,252
9,253
9,254
10,263
10,264
10,265
10,266
10,267
10,268
10,269
10,270
10,271
10,272
10,273
10,274
10,275
10,276
10,277
10,278
10,279
10,280
10,281
10,282
10,283
10,284
10,285
11,296
11,297
11,298
11,299
11,300
11,301
11,286
11,302
11,303
11,304
11,305
11,306
11,282
11,307
11,308
11,309
11,310
11,311
11,312
11,313
11,314
11,315
11,316
11,317
11,318
11,267
11,319
11,320
11,321
11,322
11,323
11,324
11,325
11,326
11,280
11,327
11,328
11,329
11,330
11,331
11,332
11,333
11,334
12,354
12,355
12,356
12,357
12,358
12,359
12,360
12,361
12,362
12,363
12,364
12,258
12,365
12,366
12,367
12,368
12,369
12,370
12,371
12,372
12,373
12,374
12,375
12,376
12,377
12,378
12,379
12,380
12,381
12,382
12,383
12,384
12,385
12,386
12,387
12,388
12,389
12,390
12,391
12,392
12,393
12,394
12,395
12,396
12,397
12,398
12,399
12,400
12,401
12,402
12,403
12,404
12,405
12,406
12,407
12,408
12,409
13,324
13,434
13,329
13,435
13,436
13,437
13,438
13,439
13,287
13,300
13,440
13,441
13,442
13,443
14,448
14,449
14,450
14,451
14,452
14,453
14,454
14,455
15,90
15,460
15,461
15,462
15,463
15,464
15,465
16,468
16,469
16,470
16,471
16,472
16,473
16,474
16,475
16,476
16,477
16,478
16,479
16,480
17,487
17,488
17,489
17,490
17,491
17,492
17,493
17,494
17,495
17,496
18,501
18,502
18,503
18,504
18,505
18,506
18,507
19,511
19,512
19,513
19,514
19,515
19,516
19,517
19,518
19,519
19,520
19,521
19,522
19,523
19,524
19,525
19,526
20,534
20,535
20,536
20,537
20,538
20,539
20,540
20,541
20,542
20,543
20,544
20,545
20,546
20,547
20,548
20,549
20,550
20,551
20,552
20,553
20,554
20,555
20,556
20,557
20,558
20,559
20,560
20,561
20,562
20,563
20,564
20,565
20,566
20,567
20,568
20,569
20,570
20,571
20,572
20,573
20,574
20,575
20,576
20,577
20,578
20,579
20,580
20,581
20,582
20,583
20,584
20,585
20,586
20,587
20,588
20,589
20,590
20,591
20,592
20,593
20,594
20,595
20,596
20,597
20,598
20,599
20,600
20,601
20,602
20,603
20,604
20,605
20,606
20,607
20,608
20,609
20,610
20,611
20,612
21,610
21,580
21,619
21,602
21,640
21,545
21,535
21,638
21,586
21,558
21,635
21,603
21,614
21,634
21,597
21,556
21,625
21,616
21,629
21,618
21,631
21,590
21,642
21,570
21,600
21,622
21,578
21,534
21,606
21,486
21,615
21,611
21,641
21,630
21,567
21,626
21,632
21,639
21,585
21,561
21,564
21,555
21,551
21,608
21,566
21,646
21,601
21,637
21,627
21,540
21,582
21,579
22,647
22,648
22,649
22,650
22,651
22,652
22,653
22,654
22,655
22,656
22,657
22,658
22,659
22,660
22,661
22,662
22,663
22,478
22,664
22,665
22,666
22,667
22,668
22,669
22,670
22,671
22,672
22,673
22,674
22,675
22,676
22,677
22,678
22,679
22,680
22,681
22,682
