user_id,item_id
0,49
0,50
0,51
0,52
0,53
0,54
0,55
0,56
0,57
0,58
0,59
1,96
1,97
1,98
1,99
1,100
1,101
2,122
2,123
2,124
3,136
3,137
4,148
4,149
5,173
5,174
5,175
5,176
5,177
6,191
6,192
7,200
7,201
8,226
8,227
8,228
8,229
8,230
9,255
9,256
9,257
9,258
10,286
10,287
10,288
10,289
10,290
11,335
11,336
11,337
11,338
11,339
11,340
11,341
11,342
11,343
12,410
12,411
12,412
12,413
12,414
12,415
12,416
12,417
12,336
12,418
12,419
12,420
13,444
13,445
13,446
14,456
14,457
15,466
15,426
16,481
16,482
16,483
17,497
17,20
18,508
18,509
19,527
19,528
19,529
20,613
20,614
20,615
20,616
20,617
20,618
20,619
20,620
20,621
20,622
20,623
20,624
20,625
20,626
20,627
20,628
20,629
21,538
21,633
21,557
21,587
21,589
21,591
21,536
21,592
21,613
21,609
21,621
22,695
22,696
22,697
22,698
22,699
22,700
22,701
22,702
22,703
22,704
22,705
23,840
23,841
23,842
23,843
23,844
23,845
23,846
23,847
23,848
23,849
23,850
23,851
23,852
23,853
23,854
23,855
23,856
23,857
23,858
23,859
23,860
23,861
23,862
23,863
23,864
23,865
23,866
24,918
24,919
24,920
24,921
24,922
25,938
25,939
25,940
26,956
26,493
26,957
27,986
27,987
27,988
27,989
27,990
28,1002
28,486
29,1016
29,1017
30,1044
30,1045
30,1046
30,1047
30,1048
31,1062
31,1063
32,1076
32,1077
33,1095
33,1096
33,1097
33,1098
34,1143
34,1144
34,1001
34,1145
34,1146
34,1147
34,1148
34,1149
34,1150
35,1184
35,1185
35,1186
35,1187
35,1188
36,1201
36,1202
37,1225
37,1226
37,976
37,1227
37,1228
38,1239
38,1240
39,574
39,644
39,559
40,1251
40,1252
41,1277
41,1278
41,1279
41,1280
41,1281
42,1314
42,1315
42,1316
42,1317
42,1318
42,1319
43,1378
43,1379
43,1380
43,1381
43,1382
43,1383
43,1384
43,1385
43,1386
43,1387
43,102
43,1388
43,1389
